用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
xc531,女,她讲服装分为左右片的时候，神态完全和讲数学的时候不一样......果然知识也是一种诅咒,,一级评论,5,118,2024-11-10 02:21:22
千岛千羽,保密,数学她真的不懂但是，服装方面是真的会一点,xc531,二级评论,3,24,2024-11-13 07:29:42
Funny-Trvmp,保密,真的懂就不会磕磕巴巴,xc531,二级评论,5,6,2024-11-14 09:43:22
Funny-Trvmp,保密,服装懂一点，但是数学是一点不懂,xc531,二级评论,5,4,2024-11-14 09:45:00
zealotand,保密,还真是，这种活跃很难装,xc531,二级评论,5,4,2024-11-19 14:29:16
碳酸橡木,男,虽说现在有点事后诸葛亮，但是我观察我们这边学习好的有很多都是说话很快的，就是很经典的嘴跟不上脑子的那种类型，因为数学好的话，她的思维肯定很活跃，尤其是能拿到这么高排名的情况下，她的思维应该是很快的，不会说的这么慢，即使语速快压下来也不会压成这个样子，这很明显平常语速就不快,,一级评论,5,81,2024-11-08 22:11:54
风吹小絮,女,确实，但大多数人看过的都是剪辑过的版本[doge],碳酸橡木,二级评论,5,1,2024-11-12 00:38:35
ChubbyWax,男,韦东奕说话也不快啊,碳酸橡木,二级评论,5,1,2024-11-15 22:47:34
养德为患,保密,回复 @ChubbyWax :是指那种应试数学吧,碳酸橡木,二级评论,4,0,2024-11-16 17:36:10
ChubbyWax,男,回复 @养德为患 :竞赛的数学对思维活跃程度的要求不是更高吗,碳酸橡木,二级评论,5,0,2024-11-16 20:53:48
幼术师,保密,刻板印象了，也有思维活跃嘴不活跃的。,碳酸橡木,二级评论,6,4,2024-11-19 10:09:05
前beamng玩家,男,太扯了，学习好也不一定就天生异象啊……,碳酸橡木,二级评论,5,3,2024-11-21 16:48:39
跳东Sky,保密,我说话比我儿子快多了。我高中数学都吃力，儿子在好大学读计算机专业,碳酸橡木,二级评论,2,1,2024-11-23 08:57:15
n1C0NiCOnI,保密,嘴跟不上思维的成语叫 口不择言,碳酸橡木,二级评论,5,0,2024-11-28 11:58:53
23K不纯金滑稽,男,单看采访其实没什么问题，一般学生有几个愿意为了这种事情认认真真背稿子的，关键还是笔记漏了马脚,碳酸橡木,二级评论,6,1,2024-11-29 00:30:27
小生剑气近,男,嘴跟不上思维？那不是说话慢吗[无语],碳酸橡木,二级评论,6,0,2024-12-03 21:33:37
