用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
凯尔宝宝,保密,采访未修改的原视频找到了😜 https://b23.tv/BV1AfDbY9EQG,,一级评论,6,464,2024-11-05 12:22:23
ULTRO,男,哈哈，刚刷新就有了[呲牙],凯尔宝宝,二级评论,5,0,2024-11-05 12:23:15
电石QwQ,保密,[doge_金箍][doge_金箍][doge_金箍],凯尔宝宝,二级评论,5,0,2024-11-05 12:50:55
泪传,男,为啥你们都不评价她这个半方言半普通话的说话方式，真的逆天,凯尔宝宝,二级评论,6,59,2024-11-05 12:51:16
rootbang,保密,回复 @泪传 :这是种特意的暗示哥们，和王宝强说话带口音的电影一样，标签就是县城中专，告诉你通过阿里比赛发现咱国家埋没了多少人,凯尔宝宝,二级评论,4,82,2024-11-05 13:08:41
牢姜啊牢姜,保密,这个怎么和我一开始看到的不一样，我还是第一次看到，谢谢，我从未见过有过如此厚颜无耻之人,凯尔宝宝,二级评论,3,7,2024-11-05 13:28:39
带鱼不是鲶鱼,保密,有他老师的采访吗,凯尔宝宝,二级评论,4,0,2024-11-05 13:33:09
宇佐見雫,女,回复 @泪传 : 她的方言口音也普化了，入声舒化明显，“知道”按南官的大路货说法应当是“晓得”,凯尔宝宝,二级评论,5,8,2024-11-05 20:48:48
老广隶,男,阿里真是反动派啊！,凯尔宝宝,二级评论,6,6,2024-11-05 21:36:21
财产哦哦,保密,你这个修改了，数学分心都出来了，我给你找一个,凯尔宝宝,二级评论,5,2,2024-11-05 23:35:07
是真爱坤呀,男,up我想问下 我有原视频为什么发不出来 显示我有版权问题,凯尔宝宝,二级评论,6,1,2024-11-06 04:18:08
肥跑跑,保密,回复 @泪传 :蛇儿 蛇儿啊 我都学会她的方言12怎么说了[笑哭][喜极而泣],凯尔宝宝,二级评论,5,3,2024-11-06 11:44:38
ruolinger,保密,回复 @泪传 : 对，听着挺别扭，这个年龄的学生，普通话都说不好真的稀有,凯尔宝宝,二级评论,5,2,2024-11-07 13:52:18
泪传,男,回复 @ruolinger :她会讲普通话，她在采访里面夹带着讲，就好诡异，表演痕迹太重了，这个创意不知道谁想出来的，逆天,凯尔宝宝,二级评论,6,3,2024-11-07 14:51:28
采菊的劳拉,保密,"阿里的理由是不成立的！
真的是笑话。开卷考试，清北都是团队作战为什么姜萍师生就不能“讲话”？姜萍第12名，她老师第125名！王老师跟姜萍讲什么话能讲出这样的结果？——阿里是为了“安抚”精英们不服气的鼓噪吗？这算是会哭的孩子有奶吃吗？“诫勉谈话”就完了？如此“该死”的事，他有嘴啊！真相真的会永不见天日吗？草根果然是“卿本无罪怀璧其罪”吗？
就算王老师和姜萍讨论出第12名和第125名，两人也都是天才啊！
精英政治精英文化已经成了中华民族伟大复兴的绊脚石。",凯尔宝宝,二级评论,3,0,2024-11-10 20:49:57
2017kt,男,回复 @rootbang :实际上，并没有埋没，姜萍没实力的,凯尔宝宝,二级评论,4,2,2024-11-11 03:34:02
一步丶丶一步,保密,需要补档的都是艺术品[doge],,一级评论,6,1937,2024-11-04 15:48:53
凯尔宝宝,保密,还有几个狠活过不了审[大哭],一步丶丶一步,二级评论,6,49,2024-11-04 17:33:25
一步丶丶一步,保密,回复 @凯尔宝宝 :补档是检验狠活的唯一标准,一步丶丶一步,二级评论,6,32,2024-11-04 18:43:48
bili_42707981067,男,回复 @凯尔宝宝 :如果决赛&#39;作弊过了，就是黑暗战胜了光明,一步丶丶一步,二级评论,4,13,2024-11-04 21:45:50
比奇堡の派哥,保密,回复 @凯尔宝宝 :去抖音，小世界发[吃瓜],一步丶丶一步,二级评论,5,3,2024-11-05 11:07:03
