用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
挽歌的小妙琴,保密,主：是不是很6？,,一级评论,6,769,2024-11-03 14:39:30
智商关怀热线,男,不懂就问，主≠ 6又是啥梗,,一级评论,6,602,2024-11-03 13:28:35
蓝色日记1126,男,姜萍之前试卷答题,智商关怀热线,二级评论,5,41,2024-11-03 13:30:02
lyh_mouse,保密,"之前在记录片里她往作业本上写“主=6”，其实应该是“z导数=6”
手写算式为了区分“z”和“2”会在z中间加个点，而“导数”可以用在符号头顶加点表示。这就导致“z导数”和“主”长的有点像。
虽然长的像，但是真能写出“主=6”说明她对高数没有任何规范化学习的经验。",智商关怀热线,二级评论,6,173,2024-11-04 09:57:44
黄帽骷髅头,男,回复 @lyh_mouse :谢谢[大会员粉豆人_点赞],智商关怀热线,二级评论,5,1,2024-11-07 16:19:32
knight_吟月,保密,主≠6 数学不存在了,,一级评论,5,428,2024-11-03 14:02:45
你粉你高贵呗,保密,主≠6了[大哭][大哭][大哭]6神无主了[大哭][大哭][大哭],,一级评论,6,317,2024-11-03 12:37:56
小白的小白船,保密,主≠6，天塌了[大哭],,一级评论,6,334,2024-11-03 12:59:29
577577577577577,保密,"踏踏实实
本本分分
不要人造神话
好吗",,一级评论,6,196,2024-11-03 12:22:16
参照源,保密,娱乐圈尤为甚至,577577577577577,二级评论,5,7,2024-11-03 12:23:59
淚爱吃牛肉堡,男,姜萍是谁，为什么你之前的视频从没出现过这个人呀[doge],,一级评论,5,143,2024-11-03 12:21:59
19782018,保密,"解放军火箭军现役导弹立项、服役时间集锦
东风—41：1984年立项，2010年服役
东风—31：1986年立项，1998年服役
东风—5：1965年立项，1981年服役
东风—26：2007年立项，2018年服役
东风—21：1979年立项，1991年服役
东风—16：2005年立项，2014年服役
东风—15：1985年立项，1989年服役
东风—11：1985年立项，1992年服役",淚爱吃牛肉堡,二级评论,3,11,2024-11-03 12:28:01
沧海横流_,男,回复 @19782018 :是出现这俩字吗？,淚爱吃牛肉堡,二级评论,6,5,2024-11-03 12:29:07
Fskit,保密,回复 @19782018 :招笑,淚爱吃牛肉堡,二级评论,5,5,2024-11-03 12:29:36
bili-i145141919,保密,回复 @19782018 :人机,淚爱吃牛肉堡,二级评论,3,2,2024-11-03 12:33:19
淚爱吃牛肉堡,男,回复 @沧海横流_ :我触发什么关键词了吗？,淚爱吃牛肉堡,二级评论,5,1,2024-11-03 12:36:31
李唐叮蒸,保密,一人一句faker牛逼来[汤圆][汤圆],淚爱吃牛肉堡,二级评论,5,1,2024-11-03 12:37:16
bili_3546593827489819,保密,回复 @李唐叮蒸 :这还没11月呢，现在不8月95日吗？,淚爱吃牛肉堡,二级评论,4,0,2024-11-03 12:38:43
雾岛董香王妃,保密,当时质疑被喷了几十条呢，说我酸了看不得别人好歧视中专生什么的，我是一个物理老师，我只是从我的学生经历和教学经验得出中专生不大可能取得这些成就的结论，因为你要有这种思维就不可能进中专，进了中专开始发奋学数学我觉得更是不可思议，虽然说一切皆有可能，但我觉得大概率不可能[笑哭][笑哭][笑哭],,一级评论,6,110,2024-11-03 12:23:44
璟瑜尕南,保密,我是学数学的，压根没有啥争议，看那个板书如果不是摆拍就能认定数学基础很差,雾岛董香王妃,二级评论,5,3,2024-11-03 12:29:16
七夜一许愿星,男,就是[星星眼]我当时指出来主🟰6，一堆没脑子的喷我，我说连数学这么严谨的符号能写错的，怎么可能是天才[喜欢],雾岛董香王妃,二级评论,6,5,2024-11-03 12:30:10
电子宅男,保密,有脑子，义务教育阶段努力过，相信她的数学成绩，只能存在其中两个。,雾岛董香王妃,二级评论,6,6,2024-11-03 12:33:45
锦色余生皆与你,男,我见过你[笑哭][doge],雾岛董香王妃,二级评论,6,0,2024-11-03 12:33:49
锦色余生皆与你,男,对啊，我是数学老师，看她学校的成绩，在中专分也不高啊，凭什么能在这种比赛中战胜这么多天才？,雾岛董香王妃,二级评论,6,2,2024-11-03 12:35:05
胜华678,保密,当年还是有可能的，现在基本不可能。尤其是那个中考分数一看就不可能了。,雾岛董香王妃,二级评论,5,0,2024-11-03 12:53:27
痛打流氓兔,男,调查的结果你调查了没有，别把你认证的大师埋没了[大哭],,一级评论,6,108,2024-11-03 12:21:11
痛打流氓兔,男,上次也是你,,一级评论,6,94,2024-11-03 12:19:57
无劣少年,保密,作弊两个字就是舍不得说出来，烫嘴,,一级评论,5,81,2024-11-03 13:26:58
浦汀爱游艇,保密,体面人做体面事儿,无劣少年,二级评论,6,0,2024-11-03 13:28:52
Victor_Grant,男,【牛津数学博士的评价姜萍学习法-哔哩哔哩】 https://b23.tv/pM4xyCE,无劣少年,二级评论,6,2,2024-11-03 13:35:48
AnDyaaa11,保密,一个破自媒体搞得跟正规军一样，发新闻都不调查清楚或者故意不清楚,,一级评论,6,49,2024-11-03 12:23:21
少年不会再快乐了,保密,作弊二字这么难说出口。是为了保护当事人还是为了强行给自己挽尊？,,一级评论,6,48,2024-11-03 13:58:18
火锅小当家HuoGuoX,男,当初害得我被哈基美追着咬了十几层，对我造成了精神伤害这事，能否给我予以补偿呢？说真话，提出质疑也要被攻击吗？,,一级评论,6,41,2024-11-03 13:29:07
我就笑笑Q,保密,央视道歉！央视道歉！央视道歉！央视道歉！央视道歉！,,一级评论,6,40,2024-11-03 14:13:28
jokerのgames,保密,新闻的时效性，真实性，你是只占其一啊[呲牙],,一级评论,5,33,2024-11-03 13:26:10
清空花里,女,乐子性、反转性嘛,jokerのgames,二级评论,5,1,2024-11-03 13:30:20
姓科,女,有没有一种可能，央视网的小编和团团的一样，也是中专,,一级评论,6,33,2024-11-03 14:01:47
萌萌的狗屎,保密,曼巴行为,姓科,二级评论,5,0,2024-11-03 14:22:40
iOrangesoft,保密,回复 @zsfjh :蠢。,姓科,二级评论,5,0,2024-11-03 14:33:30
Negril,保密,回复 @zsfjh :这个是真得转人工，在好多地方看见你了,姓科,二级评论,6,1,2024-11-03 14:37:25
蒼白王子,保密,新闻三要素：时效性真实性新鲜性，你是一个都没有啊,,一级评论,5,31,2024-11-03 13:51:39
袄景教玄牝,女,"打游戏的faker是winner
做数学的faker是joker",,一级评论,3,31,2024-11-03 14:16:08
给你硬币别打我,男,神不是你造的吗[大笑],,一级评论,5,29,2024-11-03 14:00:38
joynick,保密,短短一天时间竟然能诞生两个干碎中国赛区的faker[笑哭],,一级评论,5,29,2024-11-03 12:24:30
浅蛨,保密,写姜萍那篇文章的是不是要被处分了[脸红],,一级评论,4,27,2024-11-03 13:39:01
算命的人,保密,找个背锅的很难么？[doge],浅蛨,二级评论,5,3,2024-11-03 13:40:03
浅蛨,保密,[doge],浅蛨,二级评论,4,1,2024-11-03 13:41:25
寻风xl,女,这个实习生不错，我们拿他来玩玩[Mygo表情包_Love],浅蛨,二级评论,5,2,2024-11-03 13:42:38
1941-45,女,说起来，鲜花社之前的报道没了,浅蛨,二级评论,6,1,2024-11-03 13:46:20
西野柒濑,保密,"根据刑法第二百九十一条之一规定，编造虚假信息在信息网络上传播，严重扰乱社会秩序的，处五年以下有期徒刑、拘役或管制；造成严重后果的，处五年以上有期徒刑。 
根据《治安管理处罚法》第二十五条第一项规定，散布谣言，谎报险情、疫情、灾情、警情，故意扰乱公共秩序的，处五日以上十日以下拘留，可以并处五百元以下罚款；情节较轻的，处五日以下拘留或者五百元以下罚款。",,一级评论,6,27,2024-11-03 12:49:05
蓝色日记1126,男,说对了，这才是关键。这么大的恶意炒作造谣事件，阿里负责人抓起来，行政拘留一周,西野柒濑,二级评论,5,1,2024-11-03 13:45:58
ReDaManc-Yh,保密,很喜欢媒体行业造神毁神的同步[doge],,一级评论,4,27,2024-11-03 12:54:50
兔兔的蔹黑,男,之前的稿呢,,一级评论,6,26,2024-11-03 12:20:48
招笑蜜柚也够,保密,你不道歉吗，你至少有50%的功劳,,一级评论,3,25,2024-11-03 12:49:56
一周球鞋,保密,继重庆保时捷之后又一经典[doge_金箍],,一级评论,6,25,2024-11-03 12:47:10
一周球鞋,保密,华为手机自动发送，与本人无关,一周球鞋,二级评论,6,4,2024-11-03 12:47:31
识律鸢华,女,回复 @一周球鞋 :此为鸿蒙系统自动发布评论，不可能不点赞,一周球鞋,二级评论,5,1,2024-11-03 14:31:20
玛嘉琳,女,新闻学的魅力又一次体现了[主播女孩重度依赖第二弹_好好学习],,一级评论,6,23,2024-11-03 14:01:48
FooooJ,保密,造谣是你，辟谣也是你嗷,,一级评论,6,21,2024-11-03 13:39:14
小灰灰之声,保密,大反转[笑哭]不过要是没有媒体的宣传，恐怕也没几个个人敢推波助澜，毕竟谣言起源于个人和起源于公众媒体，最后惩罚的力度并不一样,,一级评论,6,21,2024-11-03 13:10:35
bili4145471879,保密,"不鞭尸，仇恨永无止息；
不鞭尸，强弱如我何异；
不鞭尸，一切有情皆孽；
不鞭尸，梦幻泡影空虚；
不鞭尸，忧怖涨落无常；
不鞭尸，芳华刹那而已；
不鞭尸，苦苦不得解脱；
不鞭尸，诸行了无生趣。[呲牙]",,一级评论,6,22,2024-11-03 12:20:27
追魂夺月,保密,又说获奖又宣传，又调查，又说没获奖，我纳闷了，八十多个获奖的，谁抓着姜萍宣传不放的？帮助的直接人是要有惩罚，但是靠这件事宣传舆论赚流量赚爆了的那些媒体，他们就不该被惩罚吗？要这不管，那就是刻画一个虚假的形象赚一波，辟谣又赚一波，公信力还有吗[生气]刻画是你，辟谣也是你，自导自演是吧，演这玩意给钱是吧，媒体人,,一级评论,6,20,2024-11-03 12:31:43
还是红烧排骨好吃,保密,新闻连真实性都不能保证还留着干啥，都去拍拍短视频整整活得了,,一级评论,6,20,2024-11-03 12:50:10
隐形的大叔翅膀,保密,"✅真正的Faker：默默努力，隐藏实力，在关键时刻带飞小老弟
❌虚假的Faker：勤修演技，没点实力，在关键时刻被查出作弊",,一级评论,5,20,2024-11-03 13:41:53
风吹屁屁凉pr,男,新闻学魅力时刻,隐形的大叔翅膀,二级评论,5,0,2024-11-03 13:42:12
萌的一比啦啦啦,保密,搞反了,隐形的大叔翅膀,二级评论,5,0,2024-11-03 13:42:47
寡皇,男,学新闻学的，新闻学魅力时刻https://b23.tv/BV1j2SkYjECo,,一级评论,5,21,2024-11-03 13:25:39
blilblil创作中心,保密,这就是自媒体啊，正反都是你报道，造谣辟谣都是你,,一级评论,5,19,2024-11-03 13:37:04
HWYYLXYYY,保密,他们处罚有了，你们的呢,,一级评论,6,17,2024-11-03 14:08:01
不受欺负的翔太,保密,真心祝福当初拼命给姜萍洗地的姐妹们各个貌若杨笠，智如姜萍，寿比佳佳[给心心][给心心][给心心],,一级评论,6,17,2024-11-03 13:34:08
哈桑贾拉勒扬,男,寿比佳佳蚌埠住了[喜极而泣],不受欺负的翔太,二级评论,6,0,2024-11-03 13:35:28
Negril,保密,真好啊，造谣把锅推给传谣的，传谣的法不责众，辟谣的是煽动对立,,一级评论,6,16,2024-11-03 14:15:15
科学家阿光1313,男,道歉！,,一级评论,6,29,2024-11-03 12:22:40
科学家阿光1313,男,之前你们报道的姜萍，误导了多少无知的人，然后间接引导他们去网爆质疑的人，其中你的功劳不小哦[吃瓜],科学家阿光1313,二级评论,6,19,2024-11-03 12:23:28
魏书か洛阳城,男,完辣，主≠6了[大哭]你们是想要引发数学危机嘛,,一级评论,4,16,2024-11-03 13:18:27
小明起名字好难,保密,刚开始发表获奖新闻的媒体不应当处罚吗？不经事实认证就随便发新闻，是媒体的应当作为吗？,,一级评论,4,28,2024-11-03 12:30:31
Matcha-Calm,男,不现实,小明起名字好难,二级评论,5,0,2024-11-03 12:34:50
Howard_Lee,保密,肯定有人被罚了，只是是谁我就不知道了。,小明起名字好难,二级评论,6,0,2024-11-03 12:36:42
失明画家,保密,蒸馍？,小明起名字好难,二级评论,6,0,2024-11-03 12:37:26
彪哩彪哩,男,转发的就不该被处罚了？做新闻的真实性都不要了，套个别人的壳子就能随意传谣了？,小明起名字好难,二级评论,6,0,2024-11-03 12:39:14
行秋丘,男,见到事件先不去考证和证实，而是采访和高捧，这是权威媒体该做的吗？,,一级评论,6,15,2024-11-03 14:22:07
天鸃,男,这里面最恶心的还是媒体，一直在火上浇油。网友被骗，姜萍被钉上耻辱柱，媒体却吃到了三波流量。第一波:姜萍神话；第二波:利用学历对立，性别对立等引战，制造矛盾流量；第三波:发布辟谣声明，最后再吃一波。我们都是🤡，真是学新闻学的,,一级评论,5,14,2024-11-03 12:42:57
-梅有明-,男,视频呢？天才少女的造神计划呢？[星星眼],,一级评论,4,14,2024-11-03 12:37:12
B站本部,男,央视网不判一下[星星眼],,一级评论,6,14,2024-11-03 13:00:42
日有所思好好好,保密,造谣传谣,B站本部,二级评论,6,1,2024-11-03 13:03:24
阿酒最爱游戏辣,男,你央视网不道歉？,,一级评论,6,14,2024-11-03 14:20:25
隐世良泽,男,我就说嘛，能在一众清华北大的高材生里脱颖而出，又怎么可能连不久前的初中数学月考都只能勉强及格?相当于高考满分150能考140分，做小学数学题100分只能考65分，这怎么可能?,,一级评论,5,14,2024-11-03 12:45:01
小贝丶z,保密,以后都叫提供帮助，不叫作弊了吗？,,一级评论,6,13,2024-11-03 12:47:18
㿟術,保密,兄弟们，这是几流媒体？,,一级评论,6,13,2024-11-03 13:45:02
xeoukun,保密,6流媒体,㿟術,二级评论,4,3,2024-11-03 13:46:36
爱能做到的还有什么-,男,不入流,㿟術,二级评论,6,5,2024-11-03 13:46:59
萧萧蜥蜴水寒,男,破案了 该媒体是50万，16亿,㿟術,二级评论,4,4,2024-11-03 13:48:55
瓜瓜8671,保密,岁月史书在这呢,,一级评论,6,12,2024-11-03 12:20:30
无名之辈丨,男,你这个信用度跟拼多多似的，不但自己砍，还邀请别人砍[藏狐],,一级评论,6,12,2024-11-03 14:10:32
和紗泣かないで,男,采访视频怎么不见了,,一级评论,5,12,2024-11-03 14:11:18
虎贲校尉TG,男,求求了，学点马克思主义新闻观吧，哪怕学点呢,,一级评论,6,12,2024-11-03 13:46:46
猿神齐德隆的隆冬强,保密,央视里招人注意点，短视频时代不代表可以随意造势,,一级评论,6,11,2024-11-03 14:12:03
Piercing28WsVeil,保密,激进带节奏指责理性质疑者，传播虚假信息，你就不需要向观众道歉吗？,,一级评论,4,11,2024-11-03 13:58:58
Elclaire,保密,作为央媒未经证实的消息不要无脑乱转。,,一级评论,5,18,2024-11-03 12:23:34
阿黛尔卡萝拉,女,你当初是第一批营销的啊。[胆大党_微笑],,一级评论,4,11,2024-11-03 12:33:41
铁桶套头,男,"提供帮助
“作弊”两字有这么烫嘴？",,一级评论,5,11,2024-11-03 12:49:02
这里是染竹,男,他干嘛 那他之前不就是在帮作弊者宣传了,铁桶套头,二级评论,5,1,2024-11-03 13:04:04
有痣无恐,保密,【考古姜萍采访视频弹幕，正能量满满，如今是否被打脸！-哔哩哔哩】 https://b23.tv/29GTSfq,,一级评论,5,11,2024-11-03 12:22:28
ICRobin,男,演员太牛逼了,有痣无恐,二级评论,5,0,2024-11-03 12:23:56
3492780,保密,阿里知名度有了媒体流量也有了翻车后还能置身事外，谁最倒霉现在公告也写清楚了。,,一级评论,6,11,2024-11-03 12:32:06
suki6767676767,男,小麦亩产多少？卫星田？好个朝花夕拾，旧事重提，希望新闻媒体时刻提醒自己是真相的代名词，而不是为了热度无底线的造神炒作,,一级评论,5,236,2024-11-03 12:40:10
陈孝庭,保密,风险对冲,suki6767676767,二级评论,5,0,2024-11-03 12:55:26
Verne-J,保密,还有多少求真的记者啊，少得很,suki6767676767,二级评论,6,5,2024-11-03 13:09:29
肖易塬,保密,也不止新闻媒体 也包括其他有关人员,suki6767676767,二级评论,6,2,2024-11-03 13:43:00
llaaaajaj,保密,现在社会都乌烟瘴气的还求真记者呢。？,suki6767676767,二级评论,4,4,2024-11-03 14:10:30
爱吃小熊饼干的困困熊,保密,“没有调查研究就没有发言权”，做新闻的，别人说什么就转载什么，新闻学还有未来吗,,一级评论,6,10,2024-11-03 14:15:49
鹌鹑说书人,男,然而事实是jp已经被联合国行星防御理事会的招走了，其工作是研究和计算三体问题的解，这是不可公布于世的。,,一级评论,5,10,2024-11-03 13:49:12
西大小粉蓝神神,保密,中专生的最后安慰,鹌鹑说书人,二级评论,5,1,2024-11-03 13:52:19
木二快船,保密,智子没告诉我啊？,鹌鹑说书人,二级评论,4,0,2024-11-03 13:53:01
