用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
阙邱增七,男,"起因是姜萍老师王润秋冲击南大数学博士失败（可以查到他的成绩），不甘心在一个中专面对一帮数学学渣教书，想升上博去更好的地方，去参加了阿里竞赛刷简历。
因为阿里竞赛初赛是线上无监考，可以组团参加、先用一个账号看题、再一起做题、用各自账号提交，姜萍老师为了多个账号做题而用姜萍的身份信息开了个账号参加。
往年王润秋就使用他和他老婆的账号刷分，两个人排名紧挨着。
而且王润秋也不是自己一个人答题，他有一个答题团伙——天津大学的“田老”，这人以前被王润秋指导过考研，“田老”考上天津大学后还与王润秋一起发过论文（可以查到）。
六月“田老”和王润秋就已经决定坦白，只不过一直在考虑影响拖延到现在才公布罢了。",,一级评论,6,3649,2024-11-03 17:35:43
SIAT深圳,保密,这田佬也是绝了,阙邱增七,二级评论,6,34,2024-11-03 17:40:00
老Ian今天学习了吗,男,牛,阙邱增七,二级评论,5,3,2024-11-03 17:40:29
12345dsad,保密,你这个没有讲到最重要的事情，阿里的这个数学竞赛，它的决赛是24个小时之内，你任选八个小时作答。。也就是他希望通过多个账号，用前面的账号给自己垫着，最后一个账号拿高分。。他和他的妻子去年就一块入围了，今年就带上了他的学生3×8,阙邱增七,二级评论,6,493,2024-11-03 17:40:43
合联社涡轮哥,保密,为啥要多个账号做题吗,阙邱增七,二级评论,5,12,2024-11-03 17:42:14
该用户无名-已注销,保密,回复 @合联社涡轮哥 :一旦开始就不能中止，但是整体的时间是多于考试时间的，所以就先看题试试。,阙邱增七,二级评论,5,50,2024-11-03 17:43:56
阙邱增七,男,回复 @想出来改这个名了 :上面有人补充了，“阿里的这个数学竞赛，它的决赛是24个小时之内，你任选八个小时作答。。也就是他希望通过多个账号，用前面的账号给自己垫着，最后一个账号拿高分。。他和他的妻子去年就一块入围了，今年就带上了他的学生3×8”结果姜萍那个版本最高，也有可能是阿里为了流量故意的，因为初赛不重要。,阙邱增七,二级评论,6,183,2024-11-03 17:44:58
離去之原,男,回复 @想出来改这个名了 :看题，用她的号先做一遍，后面再用自己号做,阙邱增七,二级评论,6,31,2024-11-03 17:46:19
合联社涡轮哥,保密,回复 @12345dsad :那为什么不最后用他自己的账号提交 要用学生的,阙邱增七,二级评论,5,4,2024-11-03 17:46:52
三里阳春雪,保密,回复 @想出来改这个名了 :人家前面的账号是侦察的，任务是了解题目，后面再用自己大号刷高分,阙邱增七,二级评论,5,39,2024-11-03 17:46:53
