用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
萨斯菲尔德的离歌,保密,国内的教育体制可能埋没体育，音乐，美术，文学的天才，甚至化学的天才都有可能，但是数学，物理的天才基本上不会被遗漏，除非不够天才。,,一级评论,6,6609,2024-11-05 16:26:34
hvhghfhk,保密,lgdl[脱单doge],萨斯菲尔德的离歌,二级评论,5,20,2024-11-05 16:54:54
逛到世界尽头,保密,数学天赋的展现没有太多限制，不需要跑道、乐器、实验室，一张卷子一个脑子一支笔，再不济一套尺子，最基础的天赋就有发挥的舞台了，除非刻意隐藏，说被埋没，很难。,萨斯菲尔德的离歌,二级评论,5,1514,2024-11-05 18:18:57
别逸南,男,确实，中国有数学天赋的人在班级里是很显眼的,萨斯菲尔德的离歌,二级评论,5,861,2024-11-05 19:19:17
麒麟JKL,保密,人逼急了什么事都做的出来，除了 数理化。[呲牙],萨斯菲尔德的离歌,二级评论,6,560,2024-11-05 19:33:18
账号已注销,保密,物理老师点赞了，真的人和人的脑子有壁，我和带竞赛的老师之间就是有壁，只能仰望。,萨斯菲尔德的离歌,二级评论,0,435,2024-11-05 20:06:57
不停的找北,保密,她老师就是很牛逼的数学人才！当中专老师屈才了！至少应该去比较牛逼的高中带数学竞赛！,萨斯菲尔德的离歌,二级评论,6,112,2024-11-05 21:32:11
莹的世界下雨,女,太真实了我妹妹初中同桌就是学习特别好尤其数理化初三那会就保送本校高中钱学森班了[大哭],萨斯菲尔德的离歌,二级评论,6,39,2024-11-05 23:51:52
Tashkent_Off,男,众所周知国内重理轻文已久（）甚至高考前还允许理科生转文科班来抢文科的位置。,萨斯菲尔德的离歌,二级评论,6,86,2024-11-05 23:54:23
加藤阔落,保密,还是有的，上一届就有一个外卖小哥，是有数学天赋。他平时在知乎答题的。但他身份却是外卖小哥(所以也可以算是遗漏？)所以才有了这届，把姜萍拉出来高光，以为又发现了一名遗漏的天才。[doge],萨斯菲尔德的离歌,二级评论,6,60,2024-11-06 00:11:28
笨蛋普斯猫_,保密,回复 @不停的找北 :没准人家就是不想去呢，中专老师可比高中老师轻松[笑哭],萨斯菲尔德的离歌,二级评论,5,63,2024-11-06 00:11:33
Daaaaisyyy,女,回复 @笨蛋普斯猫_ :有可能 以前江苏的高考模式 理科数学160分加40分附加题 我们学校从早到晚地练数学 早上数学课 中午吃完饭睡觉前有小练 下午数学自习 晚上固定有试卷 数学老师忙得很,萨斯菲尔德的离歌,二级评论,6,30,2024-11-06 00:47:35
Qerror,保密,回复 @麒麟JKL :化学还好，数学跟物理不会那是真不会,萨斯菲尔德的离歌,二级评论,5,13,2024-11-06 01:31:58
万事唯心,男,回复 @不停的找北 :有什么牛逼的？本来就只是资本往教育界抛出去探路的一颗石子罢了，根本保证不了公平性，比赛成绩都作不了数的,萨斯菲尔德的离歌,二级评论,5,40,2024-11-06 03:43:03
