用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
北岛被导倍,男,果然，数学永远不会骗人，终于赶上了，今天是2024年8月93号[星星眼],,一级评论,4,4260,2024-11-03 11:18:01
sd1996,保密,数学不会就是不会,北岛被导倍,二级评论,6,39,2024-11-03 11:20:20
浅灵iris,保密,虽然但是，今天95号力[星星眼],北岛被导倍,二级评论,5,136,2024-11-03 11:22:37
园法师,男,不是94号吗？[思考][思考][思考],北岛被导倍,二级评论,6,23,2024-11-03 11:23:43
舫间巷,男,不管，反正八月[星星眼][星星眼][星星眼][打call][打call][打call],北岛被导倍,二级评论,4,45,2024-11-03 11:25:13
出了什么,保密,姜历初年8月95日,北岛被导倍,二级评论,4,134,2024-11-03 11:25:48
木卫114514,保密,百进制是吧,北岛被导倍,二级评论,4,16,2024-11-03 11:25:53
之之之江,保密,看来确实是八月底[OK],北岛被导倍,二级评论,4,7,2024-11-03 11:28:02
精神健全刘老师,保密,啊？一个月怎么会只有93天,北岛被导倍,二级评论,5,1,2024-11-03 11:28:41
中华收复失地,男,真准时啊，说8月公布就8月公布[星星眼],北岛被导倍,二级评论,6,31,2024-11-03 11:28:42
七丘之狼,保密,漫八终于out了[大哭],北岛被导倍,二级评论,6,28,2024-11-03 11:29:31
HIGO观察,保密,主＝6,北岛被导倍,二级评论,5,5,2024-11-03 11:30:20
leedong,女,回复 @七丘之狼 :团长是吧[古守血遊_摸鱼],北岛被导倍,二级评论,6,1,2024-11-03 11:31:40
彼空ノ苍星坠梦,保密,8月和10月有31号，所以今天应该是8月95号[OK],北岛被导倍,二级评论,6,4,2024-11-03 11:33:10
彼空ノ苍星坠梦,保密,回复 @Radiohead27 :转人工,北岛被导倍,二级评论,6,5,2024-11-03 11:33:39
爬神在此,男,回复 @Radiohead27 :中专生，狂欢结束了，醒醒酒搬砖去吧,北岛被导倍,二级评论,5,8,2024-11-03 11:33:58
ZZZckck,男,[脸红]有这自学能力还去中专？真有很好功底吗,北岛被导倍,二级评论,5,1,2024-11-03 11:34:38
捕鼠大队安菲尔德队长,男,回复 @sd1996 :🐙表情包[doge],北岛被导倍,二级评论,6,0,2024-11-03 11:34:48
风一吹还没散,保密,回复 @七丘之狼 : 天才,北岛被导倍,二级评论,6,0,2024-11-03 11:38:45
坂井丶悠二,男,回复 @Radiohead27 :她大概率连中专数学都不太会,北岛被导倍,二级评论,6,1,2024-11-03 11:39:18
硝基亚糠基,男,百进制受益者,北岛被导倍,二级评论,5,2,2024-11-03 11:42:28
没名字了__,保密,回复 @Radiohead27 :有功底？乐,北岛被导倍,二级评论,6,0,2024-11-03 11:47:03
AnDyaaa11,保密,你说的对，但这就是我们自己的faker，性别还比🇰🇷的正确,北岛被导倍,二级评论,6,2,2024-11-03 11:49:25
网友黑顺猫,保密,漫无止境的八月,北岛被导倍,二级评论,6,2,2024-11-03 11:56:03
摸鱼的下酒菜,保密,什么漫无止境的八月,北岛被导倍,二级评论,4,3,2024-11-03 12:05:22
我比果糖更甜,保密,立国号为主,北岛被导倍,二级评论,6,0,2024-11-03 12:32:14
美味的明末小崽子,保密,回复 @Radiohead27 :你说得对，但是主＝6,北岛被导倍,二级评论,6,0,2024-11-03 12:39:24
御板10097,保密,回复 @Radiohead27 :拿大号来串？这么勇的吗。,北岛被导倍,二级评论,5,2,2024-11-03 12:45:39
雨落青山,保密,漫长的八月,北岛被导倍,二级评论,5,1,2024-11-03 12:48:13
涂山图图图,保密,95号8月10月31天[OK][OK],北岛被导倍,二级评论,3,0,2024-11-03 12:52:21
双狼成行,保密,漫无止境的八月,北岛被导倍,二级评论,6,1,2024-11-03 12:52:30
光暗派对,男,回复 @精神健全刘老师 :当时他们说这事八月份就会公布，结果今天才公布,北岛被导倍,二级评论,5,0,2024-11-03 13:12:19
账号已注销,保密,还好，再多就数不过来了,北岛被导倍,二级评论,0,1,2024-11-03 13:19:57
polikqwer,保密,那是因为被关注了，以前没网络、没被关注的，你看看骗不骗人[滑稽][滑稽],北岛被导倍,二级评论,5,0,2024-11-03 13:27:20
seaK-for,保密,回复 @御板10097 :把这家伙的主页详细翻阅了一遍，总结性质:stg，749的无脑维护者，yyqx，cxk的ncf，无脑黑西医，无脑捧中医，无脑溺爱jp，地平论的坚定维护人，华为死忠粉，小米黑粉，历史白痴，物理白痴，生物白痴，数学白痴，无条件爱俄罗斯，牛奶大寒论的坚定主义者[墨镜][墨镜][墨镜]，还有宣称核武器使用不应该有限制。明明那么讨厌西医，却还要打三针新冠疫苗，真是委屈她了,北岛被导倍,二级评论,5,0,2024-11-03 13:59:34
星辰见雷,保密,漫八终于out了,北岛被导倍,二级评论,6,2,2024-11-03 14:41:59
ltt蓝团团,保密,暑假终于结束了[微笑][doge][吃瓜],北岛被导倍,二级评论,6,1,2024-11-03 15:07:44
雷霆嘎巴之我是顺溜,保密,回复 @出了什么 :[笑哭][笑哭][笑哭],北岛被导倍,二级评论,5,0,2024-11-03 15:09:16
雀魂少年Mika酱,男,回复 @sd1996 :哈哈哈哈 在床上要笑岔气了,北岛被导倍,二级评论,5,0,2024-11-03 15:50:04
高斯_恩师姜萍,保密,回复 @seaK-for :华为粉丝是这样的,北岛被导倍,二级评论,3,0,2024-11-03 17:33:47
妖気太重,保密,8月终于过完了，还以为今年过不了年[滑稽],北岛被导倍,二级评论,6,1,2024-11-03 18:06:51
妖気太重,保密,回复 @坂井丶悠二 :自信点就是不会，不过他们班也就两个人及格,北岛被导倍,二级评论,6,0,2024-11-03 18:07:42
虾饺庥,保密,回复 @出了什么 :哈哈哈哈哈哈哈哈哈,北岛被导倍,二级评论,6,0,2024-11-03 18:12:33
鬼宠997,保密,95劲儿大,北岛被导倍,二级评论,6,1,2024-11-03 18:39:07
宇多田的熊,保密,"漫长的8月终于结束了，what can I say,漫8out",北岛被导倍,二级评论,5,2,2024-11-03 19:08:59
彗星上的蓝雪花,保密,《永无止尽的八月》,北岛被导倍,二级评论,5,1,2024-11-03 21:54:45
托托托马斯回旋,男,永无止境的八月,北岛被导倍,二级评论,6,1,2024-11-04 11:09:16
灰鸽子vov,保密,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈,北岛被导倍,二级评论,3,1,2024-11-04 13:58:12
雪干菜,女,笑死我了，8月果然是∞月啊[笑哭],北岛被导倍,二级评论,5,0,2024-11-05 23:47:16
踹你两jio,保密,这么久了才调查出结果也是蛮牛的,,一级评论,5,3483,2024-11-03 11:10:09
5586331,保密,其实早发现了，在等热度降下来再发[doge],踹你两jio,二级评论,2,743,2024-11-03 11:16:01
婧鋆,保密,陨落的天才,踹你两jio,二级评论,6,44,2024-11-03 11:16:33
目光锁定黑长直,保密,我猜大概率主办方当时宣传的时候也默认了，只是没想到玩这么大，，还有姜某一家都失联了，大概率是拿了几百万躲起来了,踹你两jio,二级评论,6,934,2024-11-03 11:16:42
图述数说,男,好歹出结果了,踹你两jio,二级评论,6,42,2024-11-03 11:17:19
bili_284829,保密,回复 @8574121 :根本和未成年勿关卡，完全就因为jp是个女的，你但凡把她换成一个男生你看会怎样,踹你两jio,二级评论,3,339,2024-11-03 11:17:44
兄弟你什么柴郡,保密,回复 @8574121 :难绷，保护在哪？,踹你两jio,二级评论,4,27,2024-11-03 11:18:12
赤座灯里yyds,保密,央视发视频采访估计，有人在阻挠，但是到最后也挡不住了,踹你两jio,二级评论,5,110,2024-11-03 11:18:13
木柜子千早爱音,保密,对于媒体来说有热度就行了,踹你两jio,二级评论,3,21,2024-11-03 11:18:28
反向钟-,保密,回复 @目光锁定黑长直 :不就是被约谈了，然后等热度降下来了再公布嘛给你说的那么邪乎[笑哭],踹你两jio,二级评论,6,61,2024-11-03 11:18:34
多啦a萌吗,保密,回复 @8574121 :那确实，王老师没成年，你也是,踹你两jio,二级评论,4,50,2024-11-03 11:19:52
用户_54188,男,等热度下来，,踹你两jio,二级评论,5,4,2024-11-03 11:19:55
两个大帅b,保密,回复 @8574121 :即使她把全国人民耍的团团转，我们依然要保护她，是吧？,踹你两jio,二级评论,5,89,2024-11-03 11:20:17
MarianaUI,男,回复 @5586331 :是这样的,踹你两jio,二级评论,6,4,2024-11-03 11:20:57
陆益清,男,回复 @5586331 :等热度下来再蹭一波热度,踹你两jio,二级评论,3,4,2024-11-03 11:21:22
目光锁定黑长直,保密,回复 @反向钟- :她出来道歉，把事情讲清楚，大概率没几天就过去了，你猜为啥她宁愿全家躲起来？？,踹你两jio,二级评论,6,28,2024-11-03 11:23:18
瑓玥,保密,回复 @某科大不哭 :开始岁月史书了，当时能吵起来还不是集美们力挺姜萍打圈？,踹你两jio,二级评论,4,85,2024-11-03 11:23:22
Hugo-CALDERANO,男,回复 @段宏儒嫖昌张睿施 :唐人说唐话，信唐人所做的一切,踹你两jio,二级评论,5,6,2024-11-03 11:23:47
bili_284829,保密,回复 @菠萝要坚强 :开始岁月史书了，当时能吵起来还不是集美们力挺姜萍打圈？,踹你两jio,二级评论,3,49,2024-11-03 11:24:17
bili_284829,保密,回复 @Hugo-CALDERANO :想想为什么最开始一直都有人力挺她，还不是因为集美们ghg,踹你两jio,二级评论,3,46,2024-11-03 11:25:05
多啦a萌吗,保密,回复 @8574121 :就你还知道法律。第十一条　任何组织或者个人发现不利于未成年人身心健康或者侵犯未成年人合法权益的情形，都有权劝阻、制止或者向公安、民政、教育等有关部门提出检举、控告。有关部门接到涉及未成年人的检举、控告或者报告，应当依法及时受理、处置，并以适当方式将处理结果告知相关单位和人员。王老师教唆未成年人作弊，这是不利于未成年人身心健康的行为，依法人民有知情权,踹你两jio,二级评论,4,12,2024-11-03 11:26:15
musicn,保密,浙大悬着的心终于放下了,,一级评论,6,3864,2024-11-03 11:46:26
销注已号账此,保密,"考数学别人写解字 姜萍都快答完了
                                                      ——央视网
平时的作业，我扫了一眼，觉得没有做的价值，我更喜欢在高等数学里探索。                    ——姜萍",,一级评论,6,6060,2024-11-03 14:35:22
星岛21,保密,不是没有做的代价吗[哦呼],销注已号账此,二级评论,2,206,2024-11-03 14:46:54
笨小孩Tau,保密,不懂就问  这是央视网的评价吗  我当时没怎么关注,销注已号账此,二级评论,4,382,2024-11-03 15:28:11
小逼崽子们,男,回复 @笨小孩Tau :是的哦,销注已号账此,二级评论,6,176,2024-11-03 15:33:26
小逼崽子们,男,回复 @笨小孩Tau :不过现在已经被删了[笑哭],销注已号账此,二级评论,6,206,2024-11-03 15:34:23
vans1re,保密,@央视网,销注已号账此,二级评论,3,223,2024-11-03 15:50:27
sanvictory,保密,结果就是中专的数学卷子不及格[doge],销注已号账此,二级评论,5,128,2024-11-03 15:52:20
老司姬_,保密,太乐了,销注已号账此,二级评论,4,15,2024-11-03 15:56:03
观火hdk,男,回复 @笨小孩Tau :是的,销注已号账此,二级评论,6,4,2024-11-03 16:33:32
我是坚果啊啊啊,保密,@央视网,销注已号账此,二级评论,6,34,2024-11-03 16:41:41
男油新之助,保密,回复 @笨小孩Tau :直接是视频标题,销注已号账此,二级评论,5,15,2024-11-03 16:41:57
Hyunsuk_x,保密,@央视网,销注已号账此,二级评论,5,22,2024-11-03 16:48:48
我和他与我们的故事,保密,他们一直都会搞笑的,销注已号账此,二级评论,2,26,2024-11-03 17:05:54
九五式氧气鱼雷,男,合订本,销注已号账此,二级评论,5,6,2024-11-03 17:06:38
我会篮球我最棒,保密,@央视网,销注已号账此,二级评论,6,13,2024-11-03 17:33:24
织我所愿,保密,@央视网,销注已号账此,二级评论,5,10,2024-11-03 17:33:47
石大徐暮,保密,虽然但是，我高中的时候也不做数学作业，我都是直接抄同学的卷子，然后同学不会做的难题我才会感兴趣去专门研究解法。我只挑难题做简单的没意思。但是我觉得有这个水平的怎么着也不可能沦落到中专吧？,销注已号账此,二级评论,5,12,2024-11-03 17:37:20
梦境之尘-,保密,回复 @笨小孩Tau :我缓存了原视频，标题就是这个,销注已号账此,二级评论,5,25,2024-11-03 17:40:08
妖気太重,保密,删掉了哈哈哈,销注已号账此,二级评论,6,3,2024-11-03 18:03:37
销注已号账此,保密,回复 @妖気太重 :我这条评论怕是也快没了，看着吧[doge],销注已号账此,二级评论,6,1,2024-11-03 18:07:59
仲夏集玉玉小菲,女,🤣🤣🤣🤣,销注已号账此,二级评论,5,1,2024-11-03 19:08:39
我不是很董,保密,回复 @梦境之尘- :想看看，提起来我还有点印象,销注已号账此,二级评论,5,2,2024-11-03 19:26:30
蓝色尾羽,保密,回复 @笨小孩Tau : 是的，而且就是因为央视和阿里发的两篇吹逼文章，才把热度搞到了下不了台的程度。,销注已号账此,二级评论,5,47,2024-11-03 19:29:03
Asuka_-_-_-,男,草台班子😆,销注已号账此,二级评论,5,9,2024-11-03 19:34:02
-焚岚,保密,回复 @笨小孩Tau :还真是，我在原视频下面批评过央视这个标题[笑哭],销注已号账此,二级评论,4,9,2024-11-03 20:10:03
可悲的外星人,男,随便写我也可以，要是填答题卡都等不到他们写解，试卷没发下来我就能写完[doge],销注已号账此,二级评论,5,0,2024-11-03 20:43:54
竟然有位高手,保密,回复 @笨小孩Tau : 视频里的,销注已号账此,二级评论,5,1,2024-11-03 21:18:15
白羽師,男,回复 @梦境之尘- :可不可以发个补档[星星眼],销注已号账此,二级评论,5,1,2024-11-03 21:35:18
Alpha-1-Fdshik,男,回复 @笨小孩Tau : 记忆清除术,销注已号账此,二级评论,6,1,2024-11-03 21:52:57
落雨-残风,保密,难绷，有补档吗[喜极而泣],销注已号账此,二级评论,4,1,2024-11-03 21:55:53
梦境之尘-,保密,回复 @白羽師 :有没有什么补档的技巧，我怕被卡，现在已经把视频导出来了,销注已号账此,二级评论,5,2,2024-11-03 22:46:44
非适应性,保密,插个眼,销注已号账此,二级评论,6,0,2024-11-03 23:08:40
stillmatic_,保密,@央视网 过来可以哥,销注已号账此,二级评论,4,1,2024-11-03 23:20:44
兮辞护你周全,保密,也只有没上过高中的人才，才会相信她[doge],销注已号账此,二级评论,5,6,2024-11-03 23:37:43
不善言辞李狗蛋,保密,https://b23.tv/BV1LW421R7R7,销注已号账此,二级评论,5,1,2024-11-04 00:19:12
就宠你w,保密,回复 @销注已号账此 :我的评论秒没[笑哭]我就给人家说了一句在哪能看央视网发的文章就被删了，玛雅，别把我号封了,销注已号账此,二级评论,5,1,2024-11-04 00:54:44
OstiumAxioma,保密,回复 @触离充电话费送的 :不会怎么样，你以为她会理你吗,销注已号账此,二级评论,6,0,2024-11-04 06:16:31
知新老猫,保密,回复 @触离充电话费送的 :这你能怎么办？只要不是政治问题都不大,销注已号账此,二级评论,5,1,2024-11-04 06:59:50
下盘两点空中一个炸,保密,@央视网,销注已号账此,二级评论,6,1,2024-11-04 07:08:41
触离充电话费送的,男,@央视网,销注已号账此,二级评论,5,0,2024-11-04 07:41:55
シライCBELY,保密,这种回答一眼就看出问题了吧,销注已号账此,二级评论,5,0,2024-11-04 07:55:32
冷柠檬吃柠檬,保密,回复 @笨小孩Tau : 我当时感觉这标题就是嘲讽,销注已号账此,二级评论,6,0,2024-11-04 08:52:02
亚可酱-,保密,呀哈哈哈哈哈哈哈哈,销注已号账此,二级评论,6,0,2024-11-04 09:03:40
账号已注销,保密,"开发5G
            ——范小勤",销注已号账此,二级评论,0,1,2024-11-04 10:16:23
纸上云烟过眼多,男,回复 @笨小孩Tau :确实是,销注已号账此,二级评论,5,1,2024-11-04 11:13:33
遏制他们的魔法,保密,回复 @星岛21 :是的 她感觉是背的稿子 把价值记成代价了,销注已号账此,二级评论,6,0,2024-11-04 11:22:13
