用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
账号已注销,保密,"考数学别人写解字 姜萍都快答完了
                                                      ——央视网",,一级评论,0,498,2024-11-03 12:39:43
SPN2020,保密,合订本YYDS[doge],账号已注销,二级评论,5,21,2024-11-03 12:43:20
可可酱解说,女,老师确实有实力[笑哭]BV17aS1YpEGT,账号已注销,二级评论,6,5,2024-11-03 13:24:26
TonyToo,保密,答完了又不一定是对的[doge],账号已注销,二级评论,6,0,2024-11-03 13:35:51
onetoon,保密,回复 @可可酱解说 :有实力但也不是特别多，前86都没进，几百人进决赛，只能说预赛2连抽，出金了,账号已注销,二级评论,4,2,2024-11-03 13:37:29
自由的一尘,保密,考数学姜萍答完时，我白卷早交完了[滑稽],账号已注销,二级评论,6,0,2024-11-03 13:46:27
雨中游泳_,保密,退订[脱单doge],账号已注销,二级评论,6,0,2024-11-03 13:49:22
alexpd026,保密,笑死,账号已注销,二级评论,6,0,2024-11-03 13:51:27
波士顿自干五圆脸传媒,保密,当时我的评论是“别人的解可能是过程，她的解应该就是答案”,账号已注销,二级评论,5,0,2024-11-03 14:05:04
IlIIIIIIlI,保密,主会保佑她[偷笑],账号已注销,二级评论,5,0,2024-11-03 14:15:44
博达王氏集团_,男,内部出了问题感觉，能让这样的人去进入内部工作，连我都写不出这样逆天的文案，我还只是一个垃圾二本普通学生呢,账号已注销,二级评论,5,0,2024-11-03 14:22:14
graysong,保密,姜萍作弊，但通报里惩罚的确只是老师？,,一级评论,4,216,2024-11-03 12:18:36
-老师您好-,保密,对于未成年人，多少要保护一下。,graysong,二级评论,5,45,2024-11-03 12:22:15
咸鱼不思考,保密,而且也不是什么官方性质的考试。,graysong,二级评论,6,57,2024-11-03 12:34:11
jjjs321,保密,回复 @面壁者yfl :那按你的说法王润秋也可以被原谅咯？,graysong,二级评论,5,36,2024-11-03 12:48:59
加尔卡卡,保密,社会会惩罚她的,graysong,二级评论,6,14,2024-11-03 12:49:03
莉塔想吃蛋糕,保密,回复 @面壁者yfl :正确的,graysong,二级评论,6,1,2024-11-03 12:53:04
约定い零点,保密,回复 @jjjs321 :成年人对自己做的事要有个清晰的认识，对自己做的错事要负责。未成年人也有责任，但这个事件里也不是罪不可恕的大问题，要包容，也不要说什么保护法双标之类的，本来就是对弱者的一种保护，毕竟她这也不是滔天大罪,graysong,二级评论,6,21,2024-11-03 12:54:07
约定い零点,保密,回复 @jjjs321 :不可能因为一个非官方正式的考试作弊（这都不是高考，高考才是大考，很严重），就直接给学生判死刑了，要给人家一个改过自新的机会,graysong,二级评论,6,19,2024-11-03 12:56:14
云追着风的,保密,回复 @加尔卡卡 : 是的，基本社死了，在中国考试作弊是失去社会信用的第一标准，一个中专生为了流量何必呢，,graysong,二级评论,6,17,2024-11-03 13:00:29
加尔卡卡,保密,回复 @云追着风的 :天下武功唯快不破，只要操作够快，就能避免细节上带来的瑕疵。当时王润秋和领导都怂了，但是她还在不停接受采访说自己想去浙大，喊话浙大的时候 浙大婉拒就已经寄了 。这是思考了利益风险以后带来的考量。,graysong,二级评论,6,8,2024-11-03 13:07:08
不要吃红心火龙果,男,我个人认为 大概率是那个王老师让姜萍参加的考试 然后王老师给她答案  因为王老师也参加了这次比赛 但名次靠后 很可能是王老师想看看自己到底能刷到多少名,graysong,二级评论,5,5,2024-11-03 13:10:22
阿祺要努力学习,保密,不是老师借号考试吗？肯定找老师,graysong,二级评论,4,3,2024-11-03 13:12:27
younghiker,保密,回复 @面壁者yfl :他还是受害者？自己选择作弊，还是受害者。照着这么说，作弊还是对的。,graysong,二级评论,5,8,2024-11-03 13:18:50
耐遮王小莫,女,回复 @-老师您好- :造谣犯罪了，庇护犯罪分子?,graysong,二级评论,5,2,2024-11-03 13:20:58
daoke12345,保密,"回复 @约定い零点 :其实很多人对姜是漠不关心的。
比如我，我只想知道身边到底是谁在支持姜。
老了他肯定要管我借钱买保健品，不如现在就躲远点。",graysong,二级评论,6,4,2024-11-03 13:22:01
bili_26233075129,保密,"我感觉确实没法定罪，毕竟私企举办的数学比赛性质也就和网吧LOL比赛差不多，而且虽然涉嫌炒作，但是采访她的媒体基本都是自发的。
有懂法的大手子出来解释一下吗？🤔",graysong,二级评论,5,6,2024-11-03 13:25:55
