用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
元勋看你那,男,什么正反手教学,,一级评论,5,323,2024-11-06 11:18:57
好名字全都被占用,保密,哈哈哈哈,元勋看你那,二级评论,6,5,2024-11-07 12:04:08
轻狂殘夜,男,哈哈哈哈,元勋看你那,二级评论,6,5,2024-11-07 22:56:25
void星葉,保密,&#34;我除了吃饭睡觉都在做题👍，平时做的那些作业，我扫一眼👀，我觉得没有什么做的代价🤓👆，我更偏向于做 高 等 数 学 之类的，它会给我带来 探 索 的欲望，我喜欢一步一步证明，得到我想证明的东西👉，无论未来会怎么样，数学这个兴趣爱好一直会持续下去🤓☝️&#34;,元勋看你那,二级评论,6,41,2024-11-10 13:47:52
337不会马枪,保密,回复 @void星葉 :我缺的数学方便面谁给我补啊,元勋看你那,二级评论,5,4,2024-11-14 12:04:15
混在文科生里的理科生,女,姜萍：“咦，这都有竞赛奖拿呀，嚯嚯嚯，我就让老师帮个忙没想到还有大奖拿。”[星星眼],,一级评论,5,399,2024-11-04 23:18:47
永爱我的她,男,姜顺萍,混在文科生里的理科生,二级评论,6,28,2024-11-05 09:32:59
DJmxn,男,理顺生,混在文科生里的理科生,二级评论,5,6,2024-11-05 12:31:04
La-Soleil_嘉祥,保密,姜萍也是个顺飞[笑哭],混在文科生里的理科生,二级评论,6,1,2024-11-05 18:15:00
灰茄,男,姜8分钱,混在文科生里的理科生,二级评论,5,0,2024-11-05 19:03:19
网友平顺唯,保密,夸脏哦,混在文科生里的理科生,二级评论,6,1,2024-11-06 00:53:06
丽脸丁真,男,j8fq,混在文科生里的理科生,二级评论,5,2,2024-11-06 02:07:51
small_c_8,男,咦？这都有顺飞看哦，嚯嚯嚯嚯嚯嚯,混在文科生里的理科生,二级评论,5,3,2024-11-06 11:44:27
夏天_dh,保密,[打call][打call][打call][星星眼],混在文科生里的理科生,二级评论,6,1,2024-11-09 13:25:06
北极熊不剩饭,保密,十二名啊？嚯嚯嚯,混在文科生里的理科生,二级评论,6,0,2024-11-22 13:13:38
那这是好事啊,男,哦对了,混在文科生里的理科生,二级评论,6,3,2024-12-10 21:47:11
扭丹大师,保密,涟水中专恩情课文《天才姜萍用J等式射落哥德巴赫猜想》,,一级评论,5,348,2024-11-05 09:18:08
枫茗苏糖,男,主主主,扭丹大师,二级评论,6,19,2024-11-05 09:30:54
我的名字是圣弗朗,男,回复 @枫茗苏糖 :＝＝＝,扭丹大师,二级评论,6,4,2024-11-05 20:40:43
雨雪其雰,男,回复 @我的名字是圣弗朗 :666,扭丹大师,二级评论,5,6,2024-11-05 20:56:55
泪水鲜红全面放纵,男,🖐😭🖐,扭丹大师,二级评论,4,1,2024-11-06 00:10:47
Applesheep法克鱿,保密,回复 @枫茗苏糖 :你这三个主就很有意思，主主主用的是数字乘法还是向量的内积还是外积还是笛卡尔积，还是说矩阵的乘法还是张量积。,扭丹大师,二级评论,5,2,2024-11-06 18:47:31
枫茗苏糖,男,回复 @杉浦小春厨 :字符数组[兔年],扭丹大师,二级评论,6,3,2024-11-06 19:06:45
咩咩瓶片手,男,已经泪流满面了将军,扭丹大师,二级评论,6,1,2024-11-07 20:54:05
Cedeat,保密,多好的姜奶奶呀！,扭丹大师,二级评论,6,2,2024-11-08 17:40:53
murder567,保密,忠！诚！,扭丹大师,二级评论,3,1,2024-11-09 21:55:13
扭丹大师,保密,回复 @murder567 :🖐️😭🖐️,扭丹大师,二级评论,5,0,2024-11-10 00:45:07
ice_Railgun,保密,新闻你来说｜让媒体的流量炒作远离互联网,,一级评论,6,299,2024-11-05 11:14:35
崇月杉,保密,说的好,ice_Railgun,二级评论,5,1,2024-11-05 20:06:31
蒜萍,保密,只要你们媒体别作妖，就不会有什么舆论乱象。,,一级评论,5,267,2024-11-05 17:55:20
Piercing28WsVeil,保密,"新闻学界只需要做三件事就不会有这乱象
1及时承认错误
2正式道歉
3学学数学界，不懂的领域闭麦",,一级评论,4,291,2024-11-05 21:39:50
bili_359445254,男,小编是女的,Piercing28WsVeil,二级评论,6,11,2024-11-06 16:05:33
黄子鲁天尊,保密,回复 @bili_359445254 :小编有KPI指标，别说女的，牵条狗都得蹭,Piercing28WsVeil,二级评论,6,9,2024-12-03 03:05:40
要学习的东西还有很多,男,回复 @bili_359445254 :这个id和发言，6级号？,Piercing28WsVeil,二级评论,5,0,2024-12-09 23:49:07
观噩梦,保密,回复 @要学习的东西还有很多 :又开始她力量了,Piercing28WsVeil,二级评论,6,0,2024-12-16 03:13:19
旷野里的鸟,保密,你好，我是姜萍，我在阿里数学竞赛决赛中取得了满分，但我的成绩被男性评委恶意篡改了，他们还逼迫王老师承认造假。这些天我一直被监视，好不容易才逃脱出来，现在饥肠辘辘，只想吃一顿疯狂星期四。谁能先转我50块钱救救急？我已经证明了黎曼猜想，等论文成功发表之后，100万美元奖金分你一半！拜托了!,,一级评论,6,215,2024-11-05 08:43:02
武慎谦华,保密,[doge],旷野里的鸟,二级评论,5,1,2024-11-05 10:39:41
祁连风雪,男,你说你是秦始皇我还相信[doge],旷野里的鸟,二级评论,6,6,2024-11-05 11:11:44
萍姜,女,你好，我是萍姜，我在阿里数学竞赛决赛中取得了满分，但我的成绩被男性评委恶意篡改了，他们还逼迫王老师承认造假。这些天我一直被监视，好不容易才逃脱出来，现在饥肠辘辘，只想吃一顿疯狂星期四。谁能先转我50块钱救救急？我已经证明了黎曼猜想，等论文成功发表之后，100万美元奖金分你一半！拜托了!,旷野里的鸟,二级评论,5,13,2024-11-05 11:30:28
QQAQQAQQ,保密,"https://www.bilibili.com/video/BV1DzD4YZEmA/?spm_id_from=333.337.search-card.all.click
万一骗赞被定性为私利，你就得进去[doge_金箍]",旷野里的鸟,二级评论,5,6,2024-11-05 12:17:22
旷野里的鸟,保密,回复 @QQAQQAQQ : 太吓人了，快VO50，署名加上你。[doge],旷野里的鸟,二级评论,6,5,2024-11-05 14:01:32
叫我钦天监大人,保密,回复 @QQAQQAQQ :这个不是最狠的，他主观恶意比较大，今年真有一个发了“我秦始皇打钱”的被拘留了,旷野里的鸟,二级评论,6,2,2024-11-05 17:15:36
QQAQQAQQ,保密,回复 @叫我钦天监大人 :这只是今天的新闻，顺便粘过来了。离谱的好像还有造谣下雪被抓的，我是说好像啊，不一定是真的[doge_金箍],旷野里的鸟,二级评论,5,2,2024-11-05 17:31:46
