用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
J1angZ,男,这位乐子人，有本事别拉黑我咱俩看看学信网[笑哭][笑哭][笑哭],,一级评论,5,256,2024-11-15 11:28:20
创业猛,男,我帮你骂它,J1angZ,二级评论,5,34,2024-11-15 13:18:26
睡会哈,保密,学姜萍什么？学演技吗？,J1angZ,二级评论,6,58,2024-11-15 15:48:52
J1angZ,男,回复 @创业猛 :[脱单doge],J1angZ,二级评论,5,5,2024-11-15 23:12:49
J1angZ,男,回复 @睡会哈 :不懂[脱单doge],J1angZ,二级评论,5,5,2024-11-15 23:13:08
籾猴,保密,@神谕之灵 说你呢,J1angZ,二级评论,6,19,2024-11-16 07:33:12
久慈川理世_Offcial,保密,你觉得他知道学信网是什么吗,J1angZ,二级评论,6,28,2024-11-16 14:16:00
J1angZ,男,回复 @籾猴 :牛逼了哥[星星眼],J1angZ,二级评论,5,5,2024-11-17 00:34:35
J1angZ,男,回复 @久慈川理世_Offcial :还真不好说[喜极而泣],J1angZ,二级评论,5,3,2024-11-17 00:34:57
-提灯点灯-,女,我感觉是反串、、,J1angZ,二级评论,5,3,2024-11-17 20:26:33
世界hj,男,这人太无敌了,J1angZ,二级评论,5,6,2024-11-18 18:54:17
刘得种,男,回复 @睡会哈 :演技真不行，太拙劣,J1angZ,二级评论,6,2,2024-11-19 04:52:13
AphHelios,保密,这口音一听就地道啊,J1angZ,二级评论,6,2,2024-11-19 06:19:50
J1angZ,男,回复 @AphHelios :确实哈，你不说我还没在意[喜极而泣],J1angZ,二级评论,5,0,2024-11-19 12:49:04
遠坂凛officiaI,保密,@神谕之灵 问你呢孩子,J1angZ,二级评论,6,0,2024-11-21 23:50:38
onionTor,保密,@神谕之灵 出列！,J1angZ,二级评论,6,3,2024-11-23 11:14:52
欠削君呜啦啦,保密,@神谕之灵 臭卖课的🐶叫什么呢？,J1angZ,二级评论,5,1,2024-11-23 11:28:25
从从从从从心丶,男,@神谕之灵 [笑哭]byd中专生都学是吧,J1angZ,二级评论,6,0,2024-11-26 13:15:02
bili_37105261,男,@神谕之灵 人类可以从蝙蝠身上学习回音定位并发明雷达，但是我真不理解人类能从职教生身上学到什么？放学堵人还是厕所生子？,J1angZ,二级评论,5,3,2024-11-26 15:20:53
反幼战线,男,回复 @bili_37105261 :是啊。,J1angZ,二级评论,5,0,2024-11-30 05:01:15
一资仓鼠,保密,学学怎么作弊,J1angZ,二级评论,5,0,2024-12-02 23:00:20
星球杯里的小馒头,保密,直接At出来,J1angZ,二级评论,5,1,2024-12-04 09:31:30
J1angZ,男,回复 @星球杯里的小馒头 :我这楼下面好多人艾特出来了[doge],J1angZ,二级评论,5,1,2024-12-04 10:35:53
红烧凤凰,男,数字生命,J1angZ,二级评论,5,0,2024-12-06 13:25:54
你踏马叫啥,保密,回复 @睡会哈 :背影优秀毕业生,J1angZ,二级评论,4,0,2024-12-06 21:29:04
老师好我是马牛逼,保密,回复 @睡会哈 :王老师表示我确实爽了，你也没了~(¯▽¯~),J1angZ,二级评论,3,0,2024-12-12 21:10:23
两千万两雪花纹银,男,你丫。。。auv，京✌️吉祥[doge],J1angZ,二级评论,6,0,2024-12-12 21:18:50
听说要取一个很长的名字,保密,好像已经没后续了,,一级评论,6,160,2024-09-16 14:43:37
对不起我忍不住了,男,现在有了[doge],听说要取一个很长的名字,二级评论,6,76,2024-11-04 04:48:22
skippper,保密,有了，阿里承认了,听说要取一个很长的名字,二级评论,3,12,2024-11-09 23:28:17
skippper,保密,前几天app上还有承认的阿里热搜,听说要取一个很长的名字,二级评论,3,3,2024-11-09 23:28:52
老师好我是马牛逼,保密,回复 @skippper :阿里炒这种低级热度是不是有点不想活了┐(─__─)┌,听说要取一个很长的名字,二级评论,3,0,2024-12-12 21:11:06
密涅瓦的巨型忍者,保密,这语言表达能力比丁真也就好在普通话没有藏味了,,一级评论,6,1125,2024-11-05 21:18:34
