用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
该名字值六个币,保密,8月95号这天终于出决赛成绩了[doge],,一级评论,5,1712,2024-11-03 10:56:00
゚杨戬,保密,看过这个某音小短剧,该名字值六个币,二级评论,6,39,2024-11-03 11:03:06
比兵长高_,男,哈哈哈哈哈哈,该名字值六个币,二级评论,6,0,2024-11-03 11:11:30
老青蛙了,保密,我嘞个八月九十五日[Cat2_FallOut!?],该名字值六个币,二级评论,6,12,2024-11-03 11:11:32
暗淡蓝点集拓扑流形,保密,主+主∑+主/(主∑)月 主∑ 日终于水落石出了[吃瓜],该名字值六个币,二级评论,5,20,2024-11-03 11:12:42
嘴比城墙硬,男,什么帮助，普通的老师怎么可能帮天才？这是jp主动负重考试，依然取得佳绩。然后向世人初露头角后又深藏功与名。学吧大家,该名字值六个币,二级评论,6,49,2024-11-03 11:12:56
嘴比城墙硬,男,回复 @嘴比城墙硬 :范小勤的阿里阿里巴巴数学竞赛jp一定能取得佳绩,该名字值六个币,二级评论,6,3,2024-11-03 11:18:16
Princess_yan,男,百进制受益者[doge],该名字值六个币,二级评论,5,0,2024-11-03 11:22:11
FimmyLee,保密,95号笑死我了[小会员绿豆人_无奈],该名字值六个币,二级评论,6,0,2024-11-03 11:23:55
当百合花开的日子,保密,"11月3号有两件事
一个是faker赢了！[doge]
另一个是faker倒了！[doge]",该名字值六个币,二级评论,6,0,2024-11-03 11:28:53
_ByLAN_,保密,人急了什么都干得出来，包括作弊造假。但是数学不会，因为数学不会就是不会。[doge][doge][doge],,一级评论,4,1658,2024-11-03 10:50:37
辛默RA,男,回复 @Radiohead27 :转人工[doge],_ByLAN_,二级评论,6,16,2024-11-03 10:55:20
Bliberty,男,回复 @Radiohead27 :啊？,_ByLAN_,二级评论,6,4,2024-11-03 10:55:25
刀刃伤已,保密,谁说的？直接告诉你答案，你前面也说了作弊,_ByLAN_,二级评论,6,2,2024-11-03 10:55:38
歪星人0_o,保密,回复 @Radiohead27 :回复 @Radiohead27 :转人工[doge],_ByLAN_,二级评论,5,2,2024-11-03 10:56:22
玖岚祺语,男,回复 @Radiohead27 :串子别叫,_ByLAN_,二级评论,6,1,2024-11-03 10:56:35
seraphine-,女,回复 @Radiohead27 : 转人工,_ByLAN_,二级评论,6,1,2024-11-03 10:57:18
已然習慣,保密,回复 @Radiohead27 :初赛最容易作弊了，初赛的考试时间很长，好像有一整天，而且考试期间也没人监控，所以她老师不就能帮她考了,_ByLAN_,二级评论,5,17,2024-11-03 10:59:12
