用户昵称,性别,评论内容,被回复用户,评论层级,用户当前等级,点赞数量,回复时间
爱吃橘子皮mi,保密,"我更偏信这个姜萍被当成靶子，多方势力因为自己的好处把她推上来的。
她虚荣肯定是有的，但是她这个年纪这个社会阅历这个家庭背景，应该是不知道出假名会造成多大的负面影响，有多大的后果。
王润秋也可能跟她许诺了什么，但是轻飘飘地带过这个谎言被戳穿会是怎样的下场。或许根本就没有警示她。出于自己的私心把她推上来。
小姑娘有错，但罪不致网络社会性死亡。最可恶的是将她造神的阿里达摩社，老师，还有一些想输出社会主流价值观的媒体等等等等.......当谎言被戳破，媒体们删除了事，只有她社会性死亡。",,一级评论,5,40,2024-12-09 12:38:34
Peterblade,保密,是的，或许姜萍从一开始就不具备什么所谓的数学天赋，是王闰秋盗用她的身份答题，在狗逼阿里要炒作这件事情时，王觉得自己声名远播的机会来了，学校和她父母都觉得有利可图，就伙同阿里让姜萍配合撒谎。,爱吃橘子皮mi,二级评论,5,3,2024-12-09 21:07:32
還我漂浮可樂,保密,達摩院問題最大,爱吃橘子皮mi,二级评论,3,3,2024-12-09 21:55:44
铁渐层,保密,国家想推职业教育，互联网喜欢推女性力量，大家都获得了流量,爱吃橘子皮mi,二级评论,4,2,2024-12-12 22:36:42
池鱼Nuyoah,男,我的想法可能比较简单，我感觉达摩院由于自己的不专业审核失误导致姜萍作弊没被发现是事实，毕竟哪怕达摩院都是各种数学大佬，但他们也是人，他们也是用两只眼睛去审核试卷的，而且再加上赛制规则有漏洞，就很有可能没发现作弊。但是他们不敢轻易承认这一点，因为承认姜萍作弊也变相承认了他们的审核不专业，这就肯定会导致达摩院和他们所办的数学专业比赛在数学圈里的专业度和权威性大大降低。在这件事上，达摩院和姜萍在一定程度上属于同一条船上的蚂蚱，所以他们在外界证据不确凿且舆论压力尚且两极分化，还不至于到承受不住的情况下会尽力隐瞒作弊和自己审核失误的不专业的事实。最终他们发现已经开始有大批的数学专业从业者开始质疑且声讨了，舆论压力已经顶不住了，最终还是选择公布了她作弊以及自己不专业的事实，但即使要公布事实也要尽量选择关注度最低的时候来公布，尽量把对自己的影响降到最低。这也就能说通他们为何将今年比赛结果的公布时间不多不少的刚好推迟在了LOL全球比赛和美总统大选这两件关注度极高的事件之间了,爱吃橘子皮mi,二级评论,6,2,2024-12-14 01:45:53
_银古_,保密,如果你拥有这种数学天赋，那么绝不可能是中专，如果你是中专的就代表你还远未达到碰瓷高数的门槛，只有真正考过研的才知道高数这些究竟多难，如果你一个中专生都能那么轻易打竞赛，那我们备考那么久还只考100左右，岂不是笑话，我至始至终都相信一个理念，能学好数学的人，物理化学一定不会差，那他就肯定能够上一个本科，数学是一切的基础，实在是太重要了……,,一级评论,6,56,2024-12-09 01:32:12
我拉粑粑有一套,保密,不管有什么天赋，哪怕没天赋，只要有一点点努力，都不至于中专，读过书的都懂，天才没有从后面里面筛选出来的道理,_银古_,二级评论,5,11,2024-12-09 18:20:51
这个滨滨就是逊呦,保密,就是，逻辑思维和反应能力一定要很拔群，你这两项好了，语文，物理，化学不会差的，那么中考怎么可能考不上好高中，搞笑呢[笑哭][笑哭],_银古_,二级评论,5,7,2024-12-10 00:44:28
SunShirley,女,是的[笑哭]我表哥十年前山东高考，特别偏科，数学148（满分150），理综280（满分300），语文和英语直接吊车尾，英语大概也就考了60分（满分150）最后总分590吧，虽然上不了211，985，但也能去一个比较好的双非一本了,_银古_,二级评论,6,1,2024-12-14 00:23:41
ODKisterZ18,男,是啊，现实中班里有这样单门课特别好的学生，班主任一般都会想方设法给ta在其他科目上恶补到一定的水准，不可能偏到哪儿去,_银古_,二级评论,6,0,2024-12-14 20:31:48
