视频名字,BV号
“数学天才”姜萍及指导老师被确认作弊！,BV1UVSmYVEJa
【漫士】姜萍事件最终结局,BV1XFS1Y5EXA
中专“天才”少女光环破灭，姜萍数学竞赛成绩原系老师提供帮助,BV12RDhYPENZ
姜萍事件调查结果公布，何教授锐评: 模棱两可，阿里甩锅,BV1hPSmYJEkn
姜萍作弊！ 母校发布情况通报：违反“禁止与他人讨论”的规则,BV1XoSkYBE7E
新闻我来说｜“姜萍事件”落幕，让功利炒作远离书桌,BV13DDWY9E9J
阿里公布“姜萍事件”调查结果：老师提供帮助，违反预选赛规则。姜萍母校通报：给予王某某诫勉谈话处理，取消年度评优,BV1s3SCYFEZV
中专“天才少女”姜萍阿里数学竞赛未获奖，入围系老师违规提供帮助,BV1JHSCYHEa8
[补档]姜萍采访视频原版无删减 阿里巴巴达摩院全球数学竞赛,BV1wNSUYBEri
“姜萍事件”调查结果公布,BV1VdSkYgEt6
[补档]姜萍合订本 纪录片 凤凰网 旅途 中专生访谈 阿里巴巴达摩院全球数学竞赛,BV1zzD2Y8EPY
补档）各平台对姜萍事件的评论,BV1CfDbYXEH7
没有做的代价,BV17r4DewEhy
即使作弊，姜萍也比大学生厉害？集美坚持洗白姜萍！【迷惑追星发言】,BV1AzDEYoEZc
霸榜热搜！一对师生是如何戏耍全国14亿人的？天才少女造神闹剧，谁是真正的幕后推手？深度解读姜萍事件,BV1e4qJY2E6E
