aweme_id,aweme_type,title,desc,create_time,user_id,sec_uid,short_user_id,user_unique_id,user_signature,nickname,avatar,liked_count,collected_count,comment_count,share_count,ip_location,last_modify_ts,aweme_url,source_keyword
7434022423302917414,0,姜萍作弊背后，该骂的另有其人！ #阿里巴巴全球数学竞赛 #姜萍 #社会热点 #财经 #掘金计划2024,姜萍作弊背后，该骂的另有其人！ #阿里巴巴全球数学竞赛 #姜萍 #社会热点 #财经 #掘金计划2024,1730868253,4309730321243771,MS4wLjABAAAAnlSDm1DgKtt7RuT7E0OWofcKztFWSoMH3ldTNlUMPeQGlWnuLcuKrTdCU6NPPEPL,,,,半面财说,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_osMAErzd8EJQZA87BBSgRflAAGBKAebA7fPnDU.jpeg?from=327834062,60958,4222,2854,24283,,1734591073388,https://www.douyin.com/video/7434022423302917414,姜萍
7448494949986782524,68,#真相会出现在你们面前 …姜萍全家人走楼空，这充分说明姜萍的实力是真实的，从阿里巴巴数学表现出色并进入决赛，引起哈佛，耶鲁等顶尖大学的关注，所以提升她的国际声誉，所以她报名参加2025美国数学建模赛，这是展示实力的最好说明…明人指点#是时候露一手了 #真相究竟如何,#真相会出现在你们面前 …姜萍全家人走楼空，这充分说明姜萍的实力是真实的，从阿里巴巴数学表现出色并进入决赛，引起哈佛，耶鲁等顶尖大学的关注，所以提升她的国际声誉，所以她报名参加2025美国数学建模赛，这是展示实力的最好说明…明人指点#是时候露一手了 #真相究竟如何,1734237882,2405365900647470,MS4wLjABAAAARX1WKLAwp9sWACwOX5UQeCSWtNyJh0WSjN_Qi1Cg71ViP74Ll1Vqot8HJKmjdftt,,,,平凡世界,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_8450bb1f92ae42bca22e956320286148.jpeg?from=327834062,3149,392,452,189,,1734591073394,https://www.douyin.com/video/7448494949986782524,姜萍
7449676680404241718,0,"姜萍再出击,要拿韦东奕没拿过的奖！
韦东奕在上学期间拿过很多竞赛奖,
十分擅长打竞赛,
但是美国大学生数学建模竟赛,
他却从来没有获奖。
美国大学生数学建模大赛是面对全世界的比赛, 简称美
赛。
是这个年齡段最权成
也是难度最大最有影响力的比赛。
姜萍为了证明自己的实力
已经决定参加美赛
而且力争要拿到最高奖。
姜萍本身就是一个谜。#姜萍成绩被质疑 #又是雪花飘落的季节 #你的城市下雪了吗","姜萍再出击,要拿韦东奕没拿过的奖！
韦东奕在上学期间拿过很多竞赛奖,
十分擅长打竞赛,
但是美国大学生数学建模竟赛,
他却从来没有获奖。
美国大学生数学建模大赛是面对全世界的比赛, 简称美
赛。
是这个年齡段最权成
也是难度最大最有影响力的比赛。
姜萍为了证明自己的实力
已经决定参加美赛
而且力争要拿到最高奖。
姜萍本身就是一个谜。#姜萍成绩被质疑 #又是雪花飘落的季节 #你的城市下雪了吗",1734513048,1192289844604208,MS4wLjABAAAAwBYgBes8hw9hfc3j1CcgrwxxAd23Xcn7NVnf4IeB8rI6Pwp1rb9zQaX4ssreuisp,,,,励真真,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_oongvIk6PBWAAAijiz8ECNi2IPAZBgN5VEiFA.jpeg?from=327834062,4506,521,525,1107,,1734591073396,https://www.douyin.com/video/7449676680404241718,姜萍
7447415568233188623,0,穷人想翻身怎么就那么难?#姜萍,穷人想翻身怎么就那么难?#姜萍,1733986604,2656064880517495,MS4wLjABAAAA8qkDWTz_hhKMbGhFNd_cOXSt6Bb157-pSyd3Gxs8ybmluK1Y2LvvwXxcjp6UGJUo,,,,体育选材张教练,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_oMONNt3eAAAyA7HJAELfWhGGHeWibuwIBBECtI.jpeg?from=327834062,2910,278,618,199,,1734591073399,https://www.douyin.com/video/7447415568233188623,姜萍
7449156837577851401,107,中专生姜萍自学高等数学，全球竞赛进入12强，天赋让名校相争,中专生姜萍自学高等数学，全球竞赛进入12强，天赋让名校相争,1734391981,4297324833288574,,,,,浪君杂谈,https://sf6-cdn-tos.bdxiguastatic.com/img/user-avatar/b2587c1a0ccb3d22e7fd7b9660f1ecb1~300x300.image?from=avatar,27,3,21,0,,1734591073405,https://www.douyin.com/video/7449156837577851401,姜萍
7434474227165646091,0,"即兴评述❗️姜萍--草根天才，轰然坍塌 数学奇才、天才少女--姜萍“塌房”
#即兴评述 #播音艺考 #面试热点 #艺考集训 #播音生","即兴评述❗️姜萍--草根天才，轰然坍塌 数学奇才、天才少女--姜萍“塌房”
#即兴评述 #播音艺考 #面试热点 #艺考集训 #播音生",1730973439,3163367476,MS4wLjABAAAAugNj5kMdunLPBKAUFSHY_YGopRiCqAhas52j_AC0Jtc,,,,Teacher吕的艺考说,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_b72907cf76d365930ab77019ec0617fa.jpeg?from=327834062,2300,1115,26,778,,1734591073407,https://www.douyin.com/video/7434474227165646091,姜萍
7388732773877533978,0,他们都看不起你 可你偏偏最争气 #姜萍  #数学  #努力,他们都看不起你 可你偏偏最争气 #姜萍  #数学  #努力,1720323427,1920181479672094,MS4wLjABAAAALwucdTbZ0kWpA6WrNlpVhpayUZnzblptT7t0x-I17NjaBRD1tjHTnTI2O87I_hCh,,,,得亿营销号,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_oUmIIBgiZPTPABnRARikPAIVS6lAEgJWAYiUd.jpeg?from=327834062,1245,126,447,732,,1734591073412,https://www.douyin.com/video/7388732773877533978,姜萍
7448229813036305721,68,,,1734176149,111448577324,MS4wLjABAAAAJBLTx6idJ-hJPmpY4Av9tMqHD5HYBKwKDrk4peOQhtg,,,,于小虎,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_ad4b1fa858b0415ba9bdc1ed7b93e3fe.jpeg?from=327834062,68,13,18,32,,1734591073413,https://www.douyin.com/video/7448229813036305721,姜萍
7449581825518865701,0,#成功事件后的教育,#成功事件后的教育,1734490957,2747038771195632,MS4wLjABAAAAl0fMiMbaiq9fD4FWyoIoWlzgRkm0RV94yh2L9IYI4LTgS2axcu_utSso2MNpP_gP,,,,张琦老师,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_ochvEFftAjNNmILMAAzAI0xCenygGCCAAghjtI.jpeg?from=327834062,36,2,10,2,,1734591073416,https://www.douyin.com/video/7449581825518865701,姜萍
7446079094501969179,0,是金子总会发光的。#姜萍 #17岁中专女生姜萍 #阿里巴巴全球数学竞赛,是金子总会发光的。#姜萍 #17岁中专女生姜萍 #阿里巴巴全球数学竞赛,1733711400,1946603043965872,MS4wLjABAAAAaE_h1Uyl3PKR4v0luSv66Lh3bLCmzEaWEDTcuJLxszJOFXOCMAO6vnVRjaomcYHk,,,,剑气东来,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_o479AnSIeA8XA8CbAgxaoNlQ6G9PzAe3DQgCAU.jpeg?from=327834062,555,106,162,270,,1734591073418,https://www.douyin.com/video/7446079094501969179,姜萍
